7,2,10,4,1,8,3,6,0,5,9,2,4,10,1,7,8,3,6,0,2,9,4,10,5,1,7,3,10,6,2,8
3,4,0,9,9,7,5,1,6,0,8,4,1,10,3,7,4,2,9,5,8,6,1,10,0,3,7,2,5,9,4,8
2,10,1,6,7,3,9,0,4,8,5,2,10,1,6,7,3,9,0,4,8,5,2,10,1,6,7,3,9,0,4,8
5,1,7,3,10,6,2,8,4,9,0,5,1,7,3,10,6,2,8,4,9,0,5,1,7,3,10,6,2,8,4,9
0,8,4,1,10,3,7,5,2,9,6,0,8,4,1,10,3,7,5,2,9,6,0,8,4,1,10,3,7,5,2,9
6,2,10,5,1,8,4,0,7,3,9,6,2,10,5,1,8,4,0,7,3,9,6,2,10,5,1,8,4,0,7,3
9,5,1,7,3,10,6,2,8,4,0,9,5,1,7,3,10,6,2,8,4,0,9,5,1,7,3,10,6,2,8,4
10,6,2,8,4,0,9,5,1,7,3,10,6,2,8,4,0,9,5,1,7,3,10,6,2,8,4,0,9,5,1,7
1,7,3,9,5,2,10,6,0,8,4,1,7,3,9,5,2,10,6,0,8,4,1,7,3,9,5,2,10,6,0,8
4,0,8,5,1,7,3,10,6,2,9,4,0,8,5,1,7,3,10,6,2,9,4,0,8,5,1,7,3,10,6,2
8,4,1,10,3,7,5,2,9,6,0,8,4,1,10,3,7,5,2,9,6,0,8,4,1,10,3,7,5,2,9,6
3,9,6,0,8,4,1,10,3,7,5,2,9,6,0,8,4,1,10,3,7,5,2,9,6,0,8,4,1,10,3,7
5,2,9,6,0,8,4,1,10,3,7,5,2,9,6,0,8,4,1,10,3,7,5,2,9,6,0,8,4,1,10,3
7,5,2,9,6,0,8,4,1,10,3,7,5,2,9,6,0,8,4,1,10,3,7,5,2,9,6,0,8,4,1,10
0,3,7,2,5,9,4,8,1,6,10,0,3,7,2,5,9,4,8,1,6,10,0,3,7,2,5,9,4,8,1,6
10,1,6,7,3,9,0,4,8,5,2,10,1,6,7,3,9,0,4,8,5,2,10,1,6,7,3,9,0,4,8,5
